"Name"|"Age"|"Class.Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"26"|"HUMPHREYS, Mr Sidney James"|"48"|"Deck"|NA|NA|NA|NA|"Southampton"|"Quartermaster"|"11"|NA
"27"|"HUTCHINSON, Mr John Hall"|"26"|"Deck"|NA|NA|NA|NA|"Belfast"|"Carpenter / Joiner"|""|NA
"28"|"JEWELL, Mr Archie"|"23"|"Deck"|NA|NA|NA|NA|"Belfast"|"Lookout"|"7"|NA
"29"|"JONES, Mr Thomas William"|"32"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"8"|NA
"30"|"KING, Mr Thomas W."|"43"|"Deck"|NA|NA|NA|NA|"Southampton"|"Master-at-arms"|""|NA
"31"|"LEE, Mr Reginald Robinson"|"41"|"Deck"|NA|NA|NA|NA|"Southampton"|"Lookout"|"13"|NA
"32"|"LIGHTOLLER, Mr Charles Herbert"|"38"|"Deck"|NA|NA|NA|NA|"Belfast"|"2nd. Officer"|"B"|NA
"33"|"LOWE, Mr Harold Godfrey"|"29"|"Deck"|NA|NA|NA|NA|"Belfast"|"5th. Officer"|"14"|NA
"34"|"LUCAS, Mr William Arthur"|"25"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"D"|NA
"35"|"LYONS, Mr William Henry"|"26"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"4"|NA
"36"|"MATHERSON, Mr David"|"30"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|192
"37"|"MATHIAS, Mr Montague Vincent"|"28"|"Deck"|NA|NA|NA|NA|"Southampton"|"Mess Steward"|""|NA
"38"|"MAXWELL, Mr John"|"31"|"Deck"|NA|NA|NA|NA|"Belfast"|"Carpenter / Joiner"|""|NA
"39"|"MCCARTHY, Mr William"|"47"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"4"|NA
"40"|"MCGOUGH, Mr George Francis"|"36"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|NA
"41"|"MOODY, Mr James Paul"|"24"|"Deck"|NA|NA|NA|NA|"Belfast"|"6th. Officer"|""|NA
"42"|"MOORE, Mr George Alfred"|"32"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"3"|NA
"43"|"MURDOCH, Mr William McMaster"|"39"|"Deck"|NA|NA|NA|NA|"Belfast"|"1st. Officer"|""|NA
"44"|"NICHOLS, Mr Alfred"|"42"|"Deck"|NA|NA|NA|NA|"Belfast"|"Boatswain"|""|NA
"45"|"O'LOUGHLIN, Dr William Francis Norman"|"62"|"Deck"|NA|NA|NA|NA|"Belfast"|"Surgeon"|""|NA
"46"|"OLLIVER, Mr Alfred"|"27"|"Deck"|NA|NA|NA|NA|"Belfast"|"Quartermaster"|"5"|NA
"47"|"OSMAN, Mr Frank"|"28"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"2"|NA
"48"|"PASCOE, Mr Charles H."|"43"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"8"|NA
"49"|"PERKIS, Mr Walter John"|"37"|"Deck"|NA|NA|NA|NA|"Belfast"|"Quartermaster"|"4"|NA
"50"|"PETERS, Mr William Chapman"|"26"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"9"|NA
"51"|"PITMAN, Mr Herbert John"|"34"|"Deck"|NA|NA|NA|NA|"Belfast"|"3rd. Officer"|"5"|NA
"52"|"POINGDESTRE, Mr John Thomas"|"33"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"12"|NA
"53"|"ROWE, Mr George Thomas"|"32"|"Deck"|NA|NA|NA|NA|"Belfast"|"Quartermaster"|"C"|NA
"54"|"SAWYER, Mr Robert James"|"30"|"Deck"|NA|NA|NA|NA|"Southampton"|"Window Cleaner"|""|NA
"55"|"SCARROTT, Mr Joseph George"|"33"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"14"|NA
"56"|"SIMPSON, Dr John Edward"|"37"|"Deck"|NA|NA|NA|NA|"Southampton"|"Assistant Surgeon"|""|NA
"57"|"SMITH, Captain Edward John"|"62"|"Deck"|NA|NA|NA|NA|"Southampton"|"Master"|""|NA
"58"|"SMITH, Mr William"|"26"|"Deck"|NA|NA|NA|NA|"Southampton"|"Seaman"|""|NA
"59"|"SYMONS, Mr George Thomas Macdonald"|"24"|"Deck"|NA|NA|NA|NA|"Southampton"|"Lookout"|"1"|NA
"60"|"TAMLYN, Mr Frederick"|"23"|"Deck"|NA|NA|NA|NA|"Southampton"|"Mess Steward"|""|123
"61"|"TAYLOR, Mr C."|"35"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|""|NA
"62"|"TERRELL, Mr Bertram"|"20"|"Deck"|NA|NA|NA|NA|"Southampton"|"Seaman"|""|NA
"63"|"VIGOTT, Mr Philip Francis"|"32"|"Deck"|NA|NA|NA|NA|"Southampton"|"Able Seaman"|"13"|NA
"64"|"WELLER, Mr William Clifford"|"30"|"Deck"|NA|NA|NA|NA|"Belfast"|"Able Seaman"|"7"|NA
"65"|"WILDE, Mr Henry Tingle"|"39"|"Deck"|NA|NA|NA|NA|"Southampton"|"Chief Officer"|""|NA
"66"|"WYNN, Mr Walter"|"41"|"Deck"|NA|NA|NA|NA|"Belfast"|"Quartermaster"|"9"|NA
"67"|"ABRAMS, Mr William"|"33"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"68"|"ADAMS, Mr R."|"26"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"69"|"ALLEN, Mr Henry"|"32"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|145
"70"|"ALLEN, Mr Ernest Frederick"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|"B"|NA
"71"|"ALLSOP, Mr Alfred Samuel"|"34"|"Engine"|NA|NA|NA|NA|"Belfast"|"Electrician"|""|NA
"72"|"AVERY, Mr James Albert"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|"15"|NA
"73"|"BAILEY, Mr George W."|"46"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"74"|"BAINES, Mr Richard"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"75"|"BANNON, Mr John"|"32"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"76"|"BARLOW, Mr Charles"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"77"|"BARNES, Mr Charles"|"29"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"78"|"BARNES, Mr J."|"41"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"79"|"BARRETT, Mr Frederick"|"28"|"Engine"|NA|NA|NA|NA|"Southampton"|"Leading Fireman"|"13"|NA
"80"|"BARRETT, Mr Frederick William"|"33"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"81"|"BEATTIE, Mr Joseph"|"35"|"Engine"|NA|NA|NA|NA|"Belfast"|"Greaser"|""|NA
"82"|"BEAUCHAMP, Mr George William"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|"13"|NA
"83"|"BELL, Mr Joseph"|"50"|"Engine"|NA|NA|NA|NA|"Belfast"|"Chief Engineer"|""|NA
"84"|"BENDELL, Mr Frank"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"85"|"BENNETT, Mr George Alfred"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"86"|"BENVILLE, Mr E."|"42"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"87"|"BESSANT, Mr William Edward"|"39"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"88"|"BEVIS, Mr Joseph Henry"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"89"|"BIDDLECOMBE, Mr Charles"|"33"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"90"|"BIGGS, Mr Edward Charles"|"20"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"91"|"BILLOW, Mr J."|"20"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"92"|"BINSTEAD, Mr Walter"|"19"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|"3"|NA
"93"|"BLACK, Mr Alexander"|"28"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"94"|"BLACK, Mr D."|"41"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"95"|"BLACKMAN, Mr H."|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"96"|"BLAKE, Mr Percival Albert"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"97"|"BLAKE, Mr Seaton"|"26"|"Engine"|NA|NA|NA|NA|"Belfast"|"Mess Steward"|""|NA
"98"|"BLAKE, Mr Thomas"|"36"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"99"|"BLANEY, Mr James"|"32"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"100"|"BLANN, Mr Eustace Horatius"|"21"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"101"|"BOTT, Mr W."|"44"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"102"|"BRADLEY, Mr Patrick Joseph"|"39"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"103"|"BREWER, Mr Henry (\"Harry\")"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"104"|"BRIANT, Mr Albert"|"34"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"105"|"BROOKS, Mr J."|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"106"|"BROWN, Mr John"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|267
"107"|"BROWN, Mr Joseph James"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"108"|"BURROUGHS, Mr Arthur"|"35"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"109"|"BURTON, Mr Edward John"|"32"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"110"|"BUTT, Mr William John"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|77
"111"|"CALDERWOOD, Mr Hugh"|"30"|"Engine"|NA|NA|NA|NA|"Belfast"|"Trimmer"|""|NA
"112"|"CANNER, Mr J."|"40"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"113"|"CARR, Mr Richard Stephen"|"37"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"114"|"CARTER (BALL), Mr James (W.)"|"46"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"115"|"CASEY, Mr T."|"28"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"116"|"CASTLEMAN, Mr Edward"|"37"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"117"|"CAVELL, Mr George Henry"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"118"|"CHERRETT, Mr William Victor"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"119"|"CHISNALL, Mr George Alexander"|"35"|"Engine"|NA|NA|NA|NA|"Belfast"|"Boilermaker"|""|111
"120"|"CHORLEY, Mr John"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"121"|"CLARK, Mr William"|"39"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"122"|"COE, Mr Harry"|"21"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"123"|"COLEMAN, Mr John"|"57"|"Engine"|NA|NA|NA|NA|"Belfast"|"Mess Steward"|""|NA
"124"|"COLLINS, Mr Samuel"|"35"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|"1"|NA
"125"|"COMBES, Mr George"|"34"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"126"|"COOPER, Mr Harry"|"26"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"127"|"COOPER, Mr James"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"128"|"COPPERTHWAITE, Mr B."|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"129"|"CORCORAN, Mr Denny"|"33"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"130"|"COTTON, Mr A."|NA|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"131"|"COUCH, Mr Joseph Henry"|"45"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"132"|"COUPER, Mr Robert"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|"3"|NA
"133"|"COY, Mr Francis Ernest George"|"26"|"Engine"|NA|NA|NA|NA|"Belfast"|"Junior Assistant 3rd. Engineer"|""|NA
"134"|"CRABB, Mr H."|"23"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"135"|"CREESE, Mr Henry Philip"|"44"|"Engine"|NA|NA|NA|NA|"Belfast"|"Deck Engineer"|""|NA
"136"|"CRIMMINS, Mr James"|"21"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|"13"|NA
"137"|"CROSS, Mr W."|"39"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"138"|"CUNNINGHAM, Mr B."|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"139"|"CURTIS, Mr Arthur"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"140"|"DAVIES, Mr Thomas"|"33"|"Engine"|NA|NA|NA|NA|"Southampton"|"Leading Fireman"|""|NA
"141"|"DAWSON, Mr Joseph"|"23"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|227
"142"|"DIAPER, Mr John Joseph"|"27"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"143"|"DICKSON, Mr W."|"36"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"144"|"DILLEY, Mr John"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"145"|"DILLON, Mr Thomas Patrick"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"146"|"DODD, Mr Edward Charles"|"38"|"Engine"|NA|NA|NA|NA|"Belfast"|"Junior 3rd. Engineer"|""|NA
"147"|"DODDS, Mr Henry Watson"|"27"|"Engine"|NA|NA|NA|NA|"Southampton"|"Junior Assistant 4th Engineer"|""|NA
"148"|"DOEL, Mr Frederick"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"149"|"DORE, Mr A."|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"150"|"DOYLE, Mr Laurence"|"27"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"151"|"DUFFY, Mr William Luke"|"28"|"Engine"|NA|NA|NA|NA|"Belfast"|"Writer / Engineer's Clerk"|""|NA
"152"|"DYER, Mr Henry Ryland"|"24"|"Engine"|NA|NA|NA|NA|"Belfast"|"Senior Assistant 4th. Engineer"|""|NA
"153"|"DYMOND, Mr Frank"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"154"|"EAGLE, Mr A. J."|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"155"|"EASTMAN, Mr Charles"|"44"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"156"|"ELLIOTT, Mr Everett Edward"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|317
"157"|"ERVINE, Mr Albert George"|"18"|"Engine"|NA|NA|NA|NA|"Belfast"|"Electrician"|""|NA
"158"|"EVANS, Mr William"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|31
"159"|"FARQUHARSON, Mr William Edward"|"39"|"Engine"|NA|NA|NA|NA|"Belfast"|"Senior 2nd. Engineer"|""|NA
"160"|"FAY, Mr Thomas Joseph"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"161"|"FERRARY, Mr Antonio"|"34"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"162"|"FERRIS, Mr W."|"38"|"Engine"|NA|NA|NA|NA|"Southampton"|"Leading Fireman"|""|NA
"163"|"FITZPATRICK, Mr Hugh J."|"27"|"Engine"|NA|NA|NA|NA|"Belfast"|"Junior Boilermaker"|""|NA
"164"|"FITZPATRICK, Mr Cecil William"|"21"|"Engine"|NA|NA|NA|NA|"Southampton"|"Mess Steward"|""|NA
"165"|"FLARTY, Mr Edward"|"43"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"166"|"FORD, Mr H."|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"167"|"FORD, Mr Thomas"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Leading Fireman"|""|NA
"168"|"FOSTER, Mr Albert C."|"37"|"Engine"|NA|NA|NA|NA|"Belfast"|"Storekeeper"|""|NA
"169"|"FRASER, Mr James"|"29"|"Engine"|NA|NA|NA|NA|"Belfast"|"Junior Assistant 3rd. Engineer"|""|NA
"170"|"FRASER, Mr J."|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"171"|"FREDERICKS, Mr Walter Francis"|"20"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"172"|"FRYER, Mr Albert Ernest"|"26"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"173"|"GEER, Mr Alfred Emest"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"174"|"GODLEY, Mr George"|"34"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"175"|"GODWIN, Mr Frederick Walter"|"34"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"176"|"GOLDER, Mr M. W."|"32"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"177"|"GORDON, Mr J."|"29"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"178"|"GOREE, Mr Frank"|"42"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|222
"179"|"GOSLING, Mr Bertram James"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"180"|"GOSLING, Mr S."|"26"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"181"|"GRADIDGE, Mr Ernest Edward"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|276
"182"|"GRAHAM, Mr Thomas G."|"28"|"Engine"|NA|NA|NA|NA|"Belfast"|"Fireman / Stoker"|""|NA
"183"|"GREEN, Mr George"|"20"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"184"|"GREGORY, Mr David"|"40"|"Engine"|NA|NA|NA|NA|"Southampton"|"Greaser"|""|NA
"185"|"GUMERY, Mr George"|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Mess Steward"|""|NA
"186"|"HAGGAN, Mr John"|"35"|"Engine"|NA|NA|NA|NA|"Belfast"|"Fireman / Stoker"|"3"|NA
"187"|"HALL, Mr J."|"32"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"188"|"HALLETT, Mr George"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"189"|"HANDS, Mr Bernard"|"53"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"190"|"HANNAM, Mr George"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"191"|"HARRIS, Mr Amos Fred"|"21"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"192"|"HARRIS, Mr Edward"|"28"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"193"|"HARRIS, Mr Frederick"|"39"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"194"|"HARRISON, Mr Norman E."|"38"|"Engine"|NA|NA|NA|NA|"Belfast"|"Junior 2nd. Engineer"|""|NA
"195"|"HART, Mr James"|"49"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"196"|"HARVEY, Mr Herbert Gifford"|"34"|"Engine"|NA|NA|NA|NA|"Belfast"|"Junior Assistant 2nd. Engineer"|""|NA
"197"|"HASLIN, Mr James"|"45"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"198"|"HEAD, Mr A."|"24"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"199"|"HEBB, Mr A."|"20"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"200"|"HENDRICKSON, Mr Charles George"|"29"|"Engine"|NA|NA|NA|NA|"Southampton"|"Leading Fireman"|"1"|NA
"201"|"HESKETH, Mr John Henry"|"33"|"Engine"|NA|NA|NA|NA|"Belfast"|"Engineer"|""|NA
"202"|"HILL, Mr James"|"25"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"203"|"HINTON, Mr Stephen William"|"30"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|85
"204"|"HODGE, Mr Charles"|"29"|"Engine"|NA|NA|NA|NA|"Belfast"|"Senior Assistant 3rd. Engineer"|""|NA
"205"|"HODGES, Mr W."|"26"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"206"|"HODGKINSON, Mr Leonard"|"46"|"Engine"|NA|NA|NA|NA|"Belfast"|"Senior 4th. Engineer"|""|NA
"207"|"HOPGOOD, Mr Roland"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"208"|"HOSGOOD, Mr Richard"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|242
"209"|"HOSKING, Mr George Fox"|"36"|"Engine"|NA|NA|NA|NA|"Belfast"|"Senior 3rd. Engineer"|""|NA
"210"|"HUNT, Mr Albert"|"22"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|NA
"211"|"HUNT, Mr Tom"|"28"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"212"|"HURST, Mr Charles John"|"35"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
"213"|"HURST, Mr Walter"|"23"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|"B"|NA
"214"|"INGRAM, Mr Charles"|"20"|"Engine"|NA|NA|NA|NA|"Southampton"|"Trimmer"|""|204
"215"|"INSTANCE, Mr T."|"33"|"Engine"|NA|NA|NA|NA|"Southampton"|"Fireman / Stoker"|""|NA
